Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Niort,26,26,51.1,38,418.0,3420,38.0,39.0,29.0,36.0,3.0,6.0,75.0,2.0,1.03,0.76,1.79,0.95,1.71,,,,,,,,,90,100,85.0,,104.0,20.0,158,1.24,41,34,7,0.18,1.0,,,,,,,,,0.0,Ligue-2,60,2018-2019
Niort,26,26,53.0,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,109,0.93,41,30,11,0.39,,,,,,,,,,,Ligue-2,60,2019-2020
Niort,30,26,53.6,38,418.0,3420,38.0,57.0,36.0,52.0,5.0,7.0,66.0,4.0,1.5,0.95,2.45,1.37,2.32,0.0,0.0,,0.0,0.0,,,,90,100,85.0,,109.0,17.0,152,1.11,60,47,13,0.34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ligue-2,60,2017-2018
Niort,30,26,54.6,40,407.0,3330,37.0,54.0,30.0,46.0,8.0,12.0,53.0,7.0,1.46,0.81,2.27,1.24,2.05,465.0,170.0,36.6,12.57,4.59,0.1,0.27,,83,100,82.0,253.0,147.0,21.0,112,1.08,55,34,21,0.57,0.0,588.0,548.0,73.0,769.0,444.0,372.0,,,1.0,Ligue-2,60,2020-2021
Nîmes,22,26,48.3,20,220.0,1800,20.0,25.0,19.0,24.0,1.0,1.0,37.0,2.0,1.25,0.95,2.2,1.2,2.15,263.0,82.0,31.2,13.15,4.1,0.09,0.29,,90,100,83.0,144.0,75.0,20.0,63,1.3,25,24,1,0.05,1.0,270.0,266.0,21.0,342.0,234.0,211.0,,,0.0,Ligue-2,60,2021-2022
Nîmes,25,26,47.1,38,418.0,3420,38.0,35.0,29.0,34.0,1.0,2.0,107.0,15.0,0.92,0.76,1.68,0.89,1.66,0.0,0.0,,0.0,0.0,,,,90,100,84.0,,110.0,20.0,153,1.92,37,75,-38,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Ligue-2,60,2017-2018
Orléans,26,26,50.4,38,418.0,3420,38.0,54.0,30.0,47.0,7.0,8.0,68.0,1.0,1.42,0.79,2.21,1.24,2.03,0.0,0.0,,0.0,0.0,,,,90,100,85.0,,111.0,20.0,155,1.21,61,52,9,0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Ligue-2,60,2017-2018
Orléans,26,26,52.6,38,418.0,3420,38.0,51.0,32.0,42.0,9.0,12.0,50.0,2.0,1.34,0.84,2.18,1.11,1.95,,,,,,,,,90,100,85.0,,105.0,20.0,154,1.37,53,51,2,0.05,1.0,,,,,,,,,2.0,Ligue-2,60,2018-2019
Orléans,33,26,49.6,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,115,0.68,43,21,22,0.79,,,,,,,,,,,Ligue-2,60,2019-2020
Paris FC,24,26,49.1,38,418.0,3420,38.0,34.0,24.0,30.0,4.0,6.0,77.0,9.0,0.89,0.63,1.53,0.79,1.42,0.0,0.0,,0.0,0.0,,,,90,100,84.0,,108.0,21.0,156,1.61,36,46,-10,-0.26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ligue-2,60,2017-2018
