Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Orléans,26,26,49.6,38,418,3420,38.0,50,31,43,7,7,,,1.32,0.82,2.13,1.13,1.95,0.0,134.0,,0.0,3.53,,0.32,,90,100,,,109,0,157,1.21,52,61,-9,-0.24,3,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Ligue-2,60,2017-2018
Orléans,26,26,47.4,38,418,3420,38.0,49,34,47,2,3,84.0,7.0,1.29,0.89,2.18,1.24,2.13,,,,,,,,,90,100,85.0,,109,18,155,1.37,51,53,-2,-0.05,3,,,,,,,,,2,Ligue-2,60,2018-2019
Orléans,33,25,50.4,28,308,2520,28.0,21,17,19,2,2,54.0,4.0,0.75,0.61,1.36,0.68,1.29,327.0,103.0,31.5,11.68,3.68,0.06,0.18,,90,100,85.0,,80,19,116,0.68,21,43,-22,-0.79,0,403.0,338.0,55.0,543.0,314.0,319.0,,,1,Ligue-2,60,2019-2020
Paris FC,24,27,50.9,38,418,3420,38.0,46,30,43,3,4,,,1.21,0.79,2.0,1.13,1.92,0.0,151.0,,0.0,3.97,,0.28,,90,100,,,114,0,147,1.61,46,36,10,0.26,3,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Ligue-2,60,2017-2018
Paris FC,26,27,49.9,38,418,3420,38.0,36,20,31,5,6,47.0,5.0,0.95,0.53,1.47,0.82,1.34,,,,,,,,,90,100,85.0,,113,15,151,1.71,36,22,14,0.37,1,,,,,,,,,0,Ligue-2,60,2018-2019
Paris FC,28,26,51.4,20,220,1800,20.0,25,17,22,3,5,25.0,1.0,1.25,0.85,2.1,1.1,1.95,237.0,97.0,40.9,11.85,4.85,0.09,0.23,,90,100,83.0,138.0,82,20,57,1.85,27,18,9,0.45,0,255.0,218.0,31.0,366.0,186.0,178.0,,,1,Ligue-2,60,2021-2022
Paris FC,31,27,53.1,38,418,3420,38.0,51,29,47,4,5,75.0,9.0,1.34,0.76,2.11,1.24,2.0,452.0,162.0,35.8,11.89,4.26,0.1,0.29,,90,100,82.0,259.0,153,20,112,1.68,53,37,16,0.42,3,580.0,554.0,59.0,749.0,491.0,372.0,,,1,Ligue-2,60,2020-2021
Paris FC,33,28,48.6,28,308,2520,28.0,21,16,17,4,8,69.0,7.0,0.75,0.57,1.32,0.61,1.18,254.0,83.0,32.7,9.07,2.96,0.07,0.2,,90,100,85.0,,84,18,107,1.0,22,40,-18,-0.64,4,409.0,404.0,46.0,378.0,353.0,250.0,,,0,Ligue-2,60,2019-2020
Pau FC,20,27,46.6,21,231,1890,21.0,24,15,23,1,1,43.0,4.0,1.14,0.71,1.86,1.1,1.81,229.0,84.0,36.7,10.9,4.0,0.1,0.27,,90,100,83.0,143.0,84,19,63,1.33,24,24,0,0.0,2,286.0,257.0,58.0,397.0,241.0,240.0,,,1,Ligue-2,60,2021-2022
Pau FC,30,26,43.5,38,418,3420,38.0,39,33,38,1,2,89.0,5.0,1.03,0.87,1.89,1.0,1.87,367.0,123.0,33.5,9.66,3.24,0.1,0.31,,90,100,83.0,266.0,148,20,119,1.16,42,49,-7,-0.18,3,565.0,506.0,73.0,716.0,611.0,420.0,,,0,Ligue-2,60,2020-2021
