Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
17.0,Sat,2021-12-18,15:30,RB Leipzig,2.0,0–2,0.6,Arminia,,Red Bull Arena,Frank Willenborg,Bundesliga,20,2021-2022
17.0,Sat,2021-12-18,15:30,Hoffenheim,2.3,1–1,1.8,M'Gladbach,750.0,PreZero Arena,Sven Jablonski,Bundesliga,20,2021-2022
17.0,Sat,2021-12-18,15:30,Greuther Fürth,0.1,0–0,1.2,Augsburg,,Sportpark Ronhof Thomas Sommer,Sascha Stegemann,Bundesliga,20,2021-2022
17.0,Sat,2021-12-18,18:30,Hertha BSC,1.6,3–2,1.2,Dortmund,5000.0,Olympiastadion Berlin,Marco Fritz,Bundesliga,20,2021-2022
17.0,Sun,2021-12-19,15:30,Freiburg,2.0,2–1,1.0,Leverkusen,750.0,Europa-Park Stadion,Benjamin Cortus,Bundesliga,20,2021-2022
17.0,Sun,2021-12-19,17:30,Köln,1.1,1–0,0.4,Stuttgart,15000.0,RheinEnergieSTADION,Bastian Dankert,Bundesliga,20,2021-2022
18.0,Fri,2022-01-07,20:30,Bayern Munich,1.7,1–2,1.1,M'Gladbach,,Allianz Arena,Daniel Siebert,Bundesliga,20,2021-2022
18.0,Sat,2022-01-08,15:30,Hoffenheim,1.8,3–1,0.7,Augsburg,500.0,PreZero Arena,Benjamin Cortus,Bundesliga,20,2021-2022
18.0,Sat,2022-01-08,15:30,Greuther Fürth,0.8,0–0,1.4,Stuttgart,,Sportpark Ronhof Thomas Sommer,Felix Brych,Bundesliga,20,2021-2022
18.0,Sat,2022-01-08,15:30,RB Leipzig,3.3,4–1,0.4,Mainz 05,,Red Bull Arena,Deniz Aytekin,Bundesliga,20,2021-2022
18.0,Sat,2022-01-08,15:30,Freiburg,2.0,2–2,0.9,Arminia,,Europa-Park Stadion,Harm Osmers,Bundesliga,20,2021-2022
18.0,Sat,2022-01-08,15:30,Leverkusen,1.8,2–2,2.4,Union Berlin,,BayArena,Matthias Jöllenbeck,Bundesliga,20,2021-2022
18.0,Sat,2022-01-08,18:30,Eint Frankfurt,1.2,2–3,2.4,Dortmund,250.0,Commerzbank-Arena,Robert Schröder,Bundesliga,20,2021-2022
18.0,Sun,2022-01-09,15:30,Hertha BSC,1.0,1–3,1.7,Köln,3000.0,Olympiastadion Berlin,Tobias Stieler,Bundesliga,20,2021-2022
