Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
31.0,Wed,2021-04-21,21:00,Alavs,1.6,2–1,1.8,Villarreal,,Estadio de Mendizorroza,Adrin Cordero,La-Liga,12,2020-2021
31.0,Wed,2021-04-21,21:00,Elche,1.2,1–1,1.0,Valladolid,,Estadio Manuel Martnez Valero,Jos Snchez,La-Liga,12,2020-2021
31.0,Wed,2021-04-21,22:00,Cdiz,0.9,0–3,3.1,Real Madrid,,Estadio Nuevo Mirandilla,Antonio Matu Lahoz,La-Liga,12,2020-2021
31.0,Thu,2021-04-22,19:00,Atltico Madrid,2.0,2–0,0.8,Huesca,,Estadio Wanda Metropolitano,Jos Luis Munuera,La-Liga,12,2020-2021
31.0,Thu,2021-04-22,21:00,Granada,1.7,4–1,1.8,Eibar,,Estadio Nuevo Los Crmenes,Santiago Jaime,La-Liga,12,2020-2021
31.0,Thu,2021-04-22,21:00,Real Sociedad,2.1,2–1,0.6,Celta Vigo,,Estadio Municipal de Anoeta,Jess Gil,La-Liga,12,2020-2021
31.0,Thu,2021-04-22,22:00,Barcelona,1.8,5–2,1.3,Getafe,,Camp Nou,Jorge Figueroa,La-Liga,12,2020-2021
32.0,Sat,2021-04-24,14:00,Elche,0.6,1–0,0.4,Levante,,Estadio Manuel Martnez Valero,David Medi,La-Liga,12,2020-2021
32.0,Sat,2021-04-24,16:15,Valladolid,1.8,1–1,1.0,Cdiz,,Estadio Municipal Jos Zorrilla,Alberola Rojas,La-Liga,12,2020-2021
32.0,Sat,2021-04-24,18:30,Valencia,1.0,1–1,1.2,Alavs,,Estadio de Mestalla,Guillermo Cuadra,La-Liga,12,2020-2021
32.0,Sat,2021-04-24,21:00,Real Madrid,1.2,0–0,0.6,Betis,,Estadio Alfredo Di Stfano,Javier Estrada,La-Liga,12,2020-2021
32.0,Sun,2021-04-25,14:00,Huesca,0.8,0–2,1.2,Getafe,,Estadio El Alcoraz,Juan Martnez,La-Liga,12,2020-2021
32.0,Sun,2021-04-25,16:15,Villarreal,1.1,1–2,3.3,Barcelona,,Estadio de la Cermica,Carlos del Cerro,La-Liga,12,2020-2021
32.0,Sun,2021-04-25,18:30,Sevilla,1.4,2–1,1.0,Granada,,Estadio Ramn Snchez Pizjun,Ricardo de Burgos,La-Liga,12,2020-2021
32.0,Sun,2021-04-25,18:30,Celta Vigo,0.9,2–1,1.7,Osasuna,,Estadio de Balados,Csar Soto,La-Liga,12,2020-2021
32.0,Sun,2021-04-25,21:00,Athletic Club,1.2,2–1,0.9,Atltico Madrid,,San Mams,Pablo Gonzlez,La-Liga,12,2020-2021
32.0,Mon,2021-04-26,21:00,Eibar,1.1,0–1,0.9,Real Sociedad,,Estadio Municipal de Ipura,Jorge Figueroa,La-Liga,12,2020-2021
