Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
19.0,Sat,2020-01-11,15:00,Cagliari,0.7,0–2,1.2,Milan,16412.0,Sardegna Arena,Rosario Abisso,Serie-A,11,2019-2020
19.0,Sat,2020-01-11,18:00,Lazio,0.9,1–0,0.5,Napoli,40000.0,Stadio Olimpico,Daniele Orsato,Serie-A,11,2019-2020
19.0,Sat,2020-01-11,20:45,Inter,0.5,1–1,2.3,Atalanta,70042.0,Stadio Giuseppe Meazza,Gianluca Rocchi,Serie-A,11,2019-2020
19.0,Sun,2020-01-12,12:30,Udinese,1.7,3–0,1.0,Sassuolo,21731.0,Dacia Arena,Manuel Volpi,Serie-A,11,2019-2020
19.0,Sun,2020-01-12,15:00,Torino,0.5,1–0,1.7,Bologna,15000.0,Stadio Olimpico di Torino,Marco Piccinini,Serie-A,11,2019-2020
19.0,Sun,2020-01-12,15:00,Sampdoria,3.3,5–1,0.9,Brescia,20117.0,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Serie-A,11,2019-2020
19.0,Sun,2020-01-12,15:00,Fiorentina,1.6,1–0,1.1,SPAL,33970.0,Stadio Artemio Franchi,Daniele Doveri,Serie-A,11,2019-2020
19.0,Sun,2020-01-12,18:00,Hellas Verona,2.6,2–1,0.8,Genoa,14849.0,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Serie-A,11,2019-2020
19.0,Sun,2020-01-12,20:45,Roma,2.5,1–2,1.4,Juventus,60513.0,Stadio Olimpico,Marco Guida,Serie-A,11,2019-2020
19.0,Mon,2020-01-13,20:45,Parma,1.6,2–0,1.1,Lecce,15258.0,Stadio Ennio Tardini,Michael Fabbri,Serie-A,11,2019-2020
20.0,Sat,2020-01-18,15:00,Lazio,4.1,5–1,0.4,Sampdoria,30000.0,Stadio Olimpico,Daniele Chiffi,Serie-A,11,2019-2020
20.0,Sat,2020-01-18,18:00,Sassuolo,1.2,2–1,0.8,Torino,10500.0,Stadio Citt del Tricolore,Davide Massa,Serie-A,11,2019-2020
20.0,Sat,2020-01-18,20:45,Napoli,0.8,0–2,1.0,Fiorentina,22219.0,Stadio San Paolo,Fabrizio Pasqua,Serie-A,11,2019-2020
20.0,Sun,2020-01-19,12:30,Milan,2.5,3–2,1.4,Udinese,56107.0,Stadio Giuseppe Meazza,Luca Pairetto,Serie-A,11,2019-2020
20.0,Sun,2020-01-19,15:00,Brescia,0.7,2–2,3.1,Cagliari,12133.0,Stadio Mario Rigamonti,Antonio Giua,Serie-A,11,2019-2020
20.0,Sun,2020-01-19,15:00,Lecce,1.2,1–1,2.0,Inter,25966.0,Stadio Comunale Via Del Mare,Piero Giacomelli,Serie-A,11,2019-2020
20.0,Sun,2020-01-19,15:00,Bologna,0.9,1–1,1.6,Hellas Verona,20697.0,Stadio Renato Dall'Ara,Giovanni Ayroldi,Serie-A,11,2019-2020
20.0,Sun,2020-01-19,18:00,Genoa,1.2,1–3,2.3,Roma,20951.0,Stadio Comunale Luigi Ferraris,Fabio Maresca,Serie-A,11,2019-2020
20.0,Sun,2020-01-19,20:45,Juventus,1.2,2–1,0.5,Parma,37790.0,Allianz Stadium,Marco Di Bello,Serie-A,11,2019-2020
20.0,Mon,2020-01-20,20:45,Atalanta,1.8,1–2,1.3,SPAL,16636.0,Stadio Atleti Azzurri d'Italia,Federico La Penna,Serie-A,11,2019-2020
21.0,Fri,2020-01-24,20:45,Brescia,1.4,0–1,2.0,Milan,19451.0,Stadio Mario Rigamonti,Paolo Valeri,Serie-A,11,2019-2020
21.0,Sat,2020-01-25,15:00,SPAL,1.5,1–3,2.0,Bologna,12622.0,Stadio Paolo Mazza,Michael Fabbri,Serie-A,11,2019-2020
21.0,Sat,2020-01-25,18:00,Fiorentina,0.9,0–0,1.6,Genoa,32903.0,Stadio Artemio Franchi,Daniele Orsato,Serie-A,11,2019-2020
21.0,Sat,2020-01-25,20:45,Torino,0.6,0–7,5.2,Atalanta,18824.0,Stadio Olimpico di Torino,Marco Guida,Serie-A,11,2019-2020
21.0,Sun,2020-01-26,12:30,Inter,2.1,1–1,0.6,Cagliari,70465.0,Stadio Giuseppe Meazza,Gianluca Manganiello,Serie-A,11,2019-2020
21.0,Sun,2020-01-26,15:00,Parma,0.9,2–0,1.7,Udinese,14250.0,Stadio Ennio Tardini,Simone Sozza,Serie-A,11,2019-2020
21.0,Sun,2020-01-26,15:00,Hellas Verona,2.1,3–0,0.5,Lecce,15425.0,Stadio Marc'Antonio Bentegodi,Rosario Abisso,Serie-A,11,2019-2020
21.0,Sun,2020-01-26,15:00,Sampdoria,1.4,0–0,0.5,Sassuolo,19260.0,Stadio Comunale Luigi Ferraris,Marco Piccinini,Serie-A,11,2019-2020
21.0,Sun,2020-01-26,18:00,Roma,1.6,1–1,0.6,Lazio,59902.0,Stadio Olimpico,Giampaolo Calvarese,Serie-A,11,2019-2020
21.0,Sun,2020-01-26,20:45,Napoli,1.2,2–1,0.5,Juventus,39111.0,Stadio San Paolo,Maurizio Mariani,Serie-A,11,2019-2020
22.0,Sat,2020-02-01,15:00,Bologna,1.9,2–1,0.9,Brescia,21665.0,Stadio Renato Dall'Ara,Daniele Doveri,Serie-A,11,2019-2020
22.0,Sat,2020-02-01,18:00,Cagliari,2.8,2–2,1.5,Parma,16051.0,Sardegna Arena,Massimiliano Irrati,Serie-A,11,2019-2020
22.0,Sat,2020-02-01,20:45,Sassuolo,3.2,4–2,2.9,Roma,13411.0,Stadio Citt del Tricolore,Luca Pairetto,Serie-A,11,2019-2020
22.0,Sun,2020-02-02,12:30,Juventus,2.9,3–0,0.6,Fiorentina,40171.0,Allianz Stadium,Fabrizio Pasqua,Serie-A,11,2019-2020
22.0,Sun,2020-02-02,15:00,Milan,1.3,1–1,0.8,Hellas Verona,55355.0,Stadio Giuseppe Meazza,Daniele Chiffi,Serie-A,11,2019-2020
22.0,Sun,2020-02-02,15:00,Lazio,2.6,5–1,1.3,SPAL,4000.0,Stadio Olimpico,Antonio Giua,Serie-A,11,2019-2020
22.0,Sun,2020-02-02,15:00,Atalanta,2.3,2–2,1.3,Genoa,18755.0,Stadio Atleti Azzurri d'Italia,Davide Massa,Serie-A,11,2019-2020
